theta,delta,k,K,Rec,F2dom,M2dom,F2epidom,M2epidom,fem_inv,masc_into_gyn
0.9,1,0.1,0.2,0.1,0,0,1,0,-0.9,-0.10000000000000003
1,1,0.1,0.2,0.1,0,0,1,0,-1.1,-0.2
0.9,1,0.2,0.2,0.1,0,0,1,0,-1,-0.10909090909090913
1,1,0.2,0.2,0.1,0,0,1,0,-1.2,-0.2
0.9,1,0.30000000000000004,0.2,0.1,0,0,1,0,-1.1,-0.11666666666666671
1,1,0.30000000000000004,0.2,0.1,0,0,1,0,-1.3,-0.2
0.9,1,0.4,0.2,0.1,0,0,1,0,-1.2000000000000002,-0.12307692307692311
1,1,0.4,0.2,0.1,0,0,1,0,-1.4,-0.2
0.9,1,0.5,0.2,0.1,0,0,1,0,-1.3,-0.12857142857142861
1,1,0.5,0.2,0.1,0,0,1,0,-1.5,-0.2
0.9,1,0.6,0.2,0.1,0,0,1,0,-1.4,-0.13333333333333336
1,1,0.6,0.2,0.1,0,0,1,0,-1.6,-0.2
0.9,1,0.7000000000000001,0.2,0.1,0,0,1,0,-1.5,-0.1375
1,1,0.7000000000000001,0.2,0.1,0,0,1,0,-1.7000000000000002,-0.2
0.9,1,0.8,0.2,0.1,0,0,1,0,-1.6,-0.14117647058823532
1,1,0.8,0.2,0.1,0,0,1,0,-1.8,-0.2
0.9,1,0.9,0.2,0.1,0,0,1,0,-1.7000000000000002,-0.1444444444444445
1,1,0.9,0.2,0.1,0,0,1,0,-1.9,-0.2
0.9,1,1,0.2,0.1,0,0,1,0,-1.8,-0.1473684210526316
1,1,1,0.2,0.1,0,0,1,0,-2,-0.2
1,0.9,0.1,0.4,0.1,0,0,1,0,-0.9,-0.17777777777777787
0.8,1,0.1,0.4,0.1,0,0,1,0,-0.7000000000000001,-0.17777777777777787
0.9,1,0.1,0.4,0.1,0,0,1,0,-0.9,-0.30000000000000004
1,1,0.1,0.4,0.1,0,0,1,0,-1.1,-0.4
1,0.9,0.2,0.4,0.1,0,0,1,0,-1,-0.20000000000000007
0.8,1,0.2,0.4,0.1,0,0,1,0,-0.8,-0.20000000000000007
0.9,1,0.2,0.4,0.1,0,0,1,0,-1,-0.30909090909090914
1,1,0.2,0.4,0.1,0,0,1,0,-1.2,-0.4
0.9,0.9,0.30000000000000004,0.4,0.1,0,0,1,0,-0.9200000000000002,-0.12549019607843148
1,0.9,0.30000000000000004,0.4,0.1,0,0,1,0,-1.1,-0.21818181818181825
0.7000000000000001,1,0.30000000000000004,0.4,0.1,0,0,1,0,-0.7000000000000002,-0.10000000000000009
0.8,1,0.30000000000000004,0.4,0.1,0,0,1,0,-0.9000000000000001,-0.21818181818181825
0.9,1,0.30000000000000004,0.4,0.1,0,0,1,0,-1.1,-0.3166666666666667
1,1,0.30000000000000004,0.4,0.1,0,0,1,0,-1.3,-0.4
0.9,0.9,0.4,0.4,0.1,0,0,1,0,-1.02,-0.15000000000000013
1,0.9,0.4,0.4,0.1,0,0,1,0,-1.2000000000000002,-0.23333333333333342
